model,kernel,test_accuracy,test_f1,cv_score,training_time_s,inference_time_ms,optimization_time_s,n_trials,C,degree,coef0,gamma
Poly_SVC,poly,1.0,1.0,1.0,62.49706792831421,1.6996138449045248,637.9813070297241,7,0.2221042595502391,3.0,3.827195071875834,
RBF_SVC,rbf,0.9995907928388746,0.9996224277893148,0.999317988064791,74.2551429271698,1.9304410540004027,2462.190843820572,5,1.3360833119867455,,,0.07390542683763396
LinearSVC,linear,0.998772378516624,0.998867710888847,0.998533674339301,4.4772889614105225,0.0006568866068846546,239.15318989753723,50,6.394879181795743,,,
