model,kernel,test_accuracy,test_f1,cv_score,training_time_s,inference_time_ms,optimization_time_s,n_trials,C,degree,coef0,gamma
Poly_SVC,poly,1.0,1.0,1.0,65.55034804344177,1.8195733126049163,155.55625104904175,3,0.22236155190732657,4.0,4.0590671874701325,
RBF_SVC,rbf,0.9995907928388746,0.9996225702962823,0.9995907928388746,51.81469011306763,1.3067677156039281,99.48835301399231,2,2.3275996709642643,,,0.045334060128042204
LinearSVC,linear,0.9988746803069054,0.9989619703689724,0.998533674339301,4.380027770996094,0.0006889866199344397,51.56867790222168,10,6.962756578220633,,,
